iter	Passed	Remaining
587	75749	53076
588	75872	52943
589	75994	52810
590	76118	52677
591	76245	52547
592	76366	52413
593	76488	52280
594	76613	52149
595	76741	52019
596	76901	51911
597	77031	51783
598	77157	51652
599	77285	51523
600	77407	51390
601	77538	51263
602	77660	51129
603	77786	50998
604	77908	50865
605	78030	50732
606	78152	50599
607	78276	50467
608	78399	50335
609	78526	50205
610	78653	50075
611	78782	49947
612	78912	49819
613	79042	49691
614	79171	49562
615	79299	49433
616	79424	49302
617	79549	49171
618	79674	49040
619	79801	48910
620	79921	48776
621	80046	48645
622	80198	48530
623	80318	48396
624	80440	48264
625	80564	48132
626	80690	48002
627	80818	47873
628	80947	47744
629	81078	47617
630	81203	47486
631	81329	47356
632	81450	47223
633	81576	47092
634	81701	46962
635	81828	46832
636	81954	46702
637	82113	46590
638	82241	46461
639	82361	46328
640	82483	46195
641	82608	46064
642	82734	45935
643	82868	45809
644	82992	45678
645	83123	45550
646	83255	45423
647	83382	45294
648	83508	45163
649	83635	45034
650	83758	44902
651	83883	44772
652	84006	44640
653	84128	44508
654	84248	44375
655	84376	44246
656	84499	44114
657	84626	43985
658	84760	43859
659	84888	43730
660	85018	43602
661	85147	43473
662	85271	43343
663	85399	43214
664	85524	43083
665	85646	42951
666	85768	42819
667	85893	42689
668	86016	42558
669	86141	42427
670	86265	42297
671	86392	42167
672	86514	42035
673	86638	41905
674	86758	41772
675	86885	41643
676	87017	41516
677	87144	41387
678	87268	41256
679	87398	41128
680	87524	40998
681	87649	40868
682	87775	40739
683	87897	40607
684	88037	40484
685	88161	40353
686	88282	40222
687	88409	40092
688	88531	39961
689	88660	39832
690	88825	39720
691	88988	39607
692	89119	39479
693	89250	39352
694	89375	39222
695	89504	39093
696	89627	38962
697	89751	38832
698	89877	38702
699	90006	38574
700	90124	38441
701	90251	38312
702	90374	38180
703	90502	38052
704	90625	37921
705	90760	37795
706	90888	37666
707	91016	37537
708	91141	37407
709	91267	37278
710	91391	37147
711	91519	37019
712	91644	36888
713	91769	36759
714	91890	36627
715	92018	36498
716	92144	36369
717	92270	36239
718	92394	36109
719	92520	35980
720	92643	35849
721	92776	35722
722	92939	35607
723	93065	35478
724	93196	35350
725	93327	35222
726	93455	35094
727	93584	34965
728	93708	34835
729	93833	34705
730	93954	34574
731	94077	34443
732	94199	34312
733	94326	34183
734	94447	34052
735	94572	33922
736	94721	33801
737	94853	33674
738	94985	33547
739	95118	33420
740	95246	33291
741	95375	33162
742	95502	33033
743	95624	32903
744	95744	32771
745	95897	32651
746	96046	32529
747	96167	32398
748	96313	32275
749	96437	32145
750	96566	32017
751	96695	31888
752	96823	31760
753	96954	31632
754	97078	31502
755	97209	31374
756	97335	31244
757	97457	31114
758	97579	30983
759	97703	30853
760	97825	30723
761	97951	30593
762	98069	30461
763	98194	30332
764	98314	30201
765	98443	30072
766	98572	29944
767	98697	29814
768	98822	29685
769	98953	29557
770	99088	29430
771	99215	29302
772	99341	29172
773	99495	29051
774	99622	28922
775	99770	28799
776	99898	28670
777	100019	28540
778	100142	28410
779	100266	28280
780	100391	28150
781	100518	28021
782	100645	27892
783	100778	27765
784	100901	27635
785	101031	27507
786	101160	27378
787	101288	27250
788	101411	27120
789	101536	26990
790	101661	26861
791	101784	26731
792	101907	26601
793	102031	26471
794	102180	26348
795	102297	26217
796	102440	26092
797	102568	25963
798	102695	25834
799	102825	25706
800	102957	25578
801	103082	25449
802	103211	25320
803	103338	25191
804	103463	25062
805	103590	24933
806	103715	24804
807	103837	24674
808	103987	24550
809	104110	24421
810	104232	24290
811	104357	24161
812	104484	24032
813	104612	23904
814	104740	23775
815	104878	23649
816	105005	23520
817	105130	23390
818	105287	23268
819	105436	23144
820	105560	23015
821	105684	22885
822	105809	22756
823	105939	22627
824	106060	22497
825	106184	22368
826	106309	22238
827	106432	22109
828	106559	21980
829	106690	21852
830	106813	21722
831	106952	21596
832	107074	21466
833	107202	21337
834	107325	21208
835	107451	21078
836	107572	20948
837	107698	20819
838	107822	20690
839	107944	20560
840	108067	20431
841	108218	20306
842	108349	20178
843	108489	20052
844	108612	19923
845	108743	19794
846	108893	19670
847	109022	19541
848	109148	19412
849	109305	19289
850	109432	19160
851	109555	19030
852	109677	18901
853	109803	18772
854	109925	18642
855	110051	18513
856	110174	18383
857	110302	18255
858	110428	18126
859	110556	17997
860	110686	17869
861	110816	17740
862	110943	17612
863	111071	17483
864	111195	17354
865	111323	17225
866	111446	17096
867	111572	16967
868	111693	16837
869	111816	16708
870	111939	16578
871	112062	16449
872	112182	16319
873	112310	16191
874	112435	16062
875	112565	15933
876	112696	15805
877	112825	15677
878	112954	15548
879	113100	15422
880	113228	15294
881	113356	15165
882	113479	15036
883	113603	14907
884	113727	14778
885	113851	14649
886	113976	14520
887	114100	14391
888	114222	14261
889	114345	14132
890	114469	14003
891	114598	13875
892	114725	13746
893	114854	13618
894	114980	13489
895	115125	13362
896	115253	13234
897	115377	13105
898	115500	12976
899	115626	12847
900	115748	12718
901	115874	12589
902	115998	12460
903	116123	12331
904	116249	12203
905	116375	12074
906	116499	11945
907	116649	11819
908	116779	11690
909	116909	11562
910	117041	11434
911	117202	11309
912	117331	11180
913	117451	11051
914	117600	10924
915	117724	10795
916	117875	10669
917	118000	10540
918	118122	10411
919	118247	10282
920	118372	10153
921	118540	10028
922	118674	9900
923	118803	9771
924	118931	9643
925	119067	9515
926	119206	9387
927	119335	9258
928	119458	9129
929	119588	9001
930	119728	8873
931	119857	8744
932	119978	8615
933	120130	8488
934	120262	8360
935	120400	8232
936	120539	8104
937	120676	7976
938	120813	7848
939	120939	7719
940	121066	7590
941	121196	7462
942	121341	7334
943	121462	7205
944	121585	7076
945	121706	6947
946	121825	6818
947	121947	6689
948	122067	6560
949	122187	6430
950	122307	6301
951	122430	6172
952	122552	6044
953	122679	5915
954	122809	5786
955	122937	5658
956	123064	5529
957	123196	5401
958	123320	5272
959	123442	5143
960	123564	5014
961	123690	4885
962	123836	4758
963	123960	4629
964	124080	4500
965	124199	4371
966	124317	4242
967	124443	4113
968	124561	3984
969	124685	3856
970	124833	3728
971	125000	3600
972	125128	3472
973	125254	3343
974	125387	3215
975	125509	3086
976	125632	2957
977	125761	2828
978	125883	2700
979	126004	2571
980	126123	2442
981	126248	2314
982	126413	2186
983	126543	2057
984	126668	1928
985	126805	1800
986	126931	1671
987	127058	1543
988	127182	1414
989	127306	1285
990	127435	1157
991	127560	1028
992	127679	900
993	127828	771
994	127950	642
995	128076	514
996	128218	385
997	128361	257
998	128481	128
999	128609	0
